strategy_id,strategy_name,game,governance_status,independent_algorithm_id,alias_of,equivalence_group,current_source_path,historical_source_commit,historical_source_path,implementation_kind,entrypoint,native_ticket_count,strategy_signal_available,supports_historical_cutoff,required_inputs,dependency_status,external_state_dependency,leakage_status,recovery_status,terminal_disposition,evidence
acb_hot_fourier_3bet_biglotto,acb_hot_fourier_3bet_biglotto,BIG_LOTTO,REJECTED,acb_hot_fourier_3bet_biglotto,,,,,rejected/acb_hot_fourier_3bet_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/acb_hot_fourier_3bet_biglotto.json
apriori_3bet_biglotto,apriori_3bet_biglotto,BIG_LOTTO,REJECTED,apriori_3bet_biglotto,,,,,rejected/apriori_3bet_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/apriori_3bet_biglotto.json
bet2_fourier_expansion_biglotto@rejected_json_historical,大樂透 Bet2 Fourier Expansion,BIG_LOTTO,REJECTED,bet2_fourier_expansion_biglotto@rejected_json_historical,,,,,rejected/bet2_fourier_expansion_biglotto.json,historical_id_reuse_lineage,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,current replay lifecycle registry; rejected/bet2_fourier_expansion_biglotto.json; P358B confirmed distinct historical lineage
biglotto_10bet_combined,Deleted combined orthogonal/P1 10-bet,BIG_LOTTO,DELETED,biglotto_10bet_combined,,,,73062646^,tools/backtest_biglotto_10bet_combined.py,shape_safety_adapter_without_parity,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_10bet_combined,10,False,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,NOT_RANKABLE_WITHOUT_PARITY,PARTIAL_SHAPE_EVIDENCE,PARTIAL_BACKTEST,P357B-HIST-010; P358/P359 shape-safety only
biglotto_5bet_orthogonal,Historical Big Lotto orthogonal 5-bet,BIG_LOTTO,UNKNOWN,biglotto_5bet_orthogonal,,,tools/quick_predict.py; tools/backtest_biglotto_5bet_ts3markov.py,,,shape_safety_adapter_without_parity,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_5bet_orthogonal,5,False,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,NOT_RANKABLE_WITHOUT_PARITY,PARTIAL_SHAPE_EVIDENCE,PARTIAL_BACKTEST,P358/P359 shape-safety only; historical parity not proven
biglotto_ts3_acb_4bet,大樂透 TS3+ACB 4注,BIG_LOTTO,REJECTED,biglotto_ts3_acb_4bet,,ts3_acb_aliases,,,,registry,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,current replay lifecycle registry
biglotto_ts3_markov_freq_5bet,大樂透 TS3+Markov 頻率正交 5注,BIG_LOTTO,REJECTED,biglotto_ts3_markov_freq_5bet,,ts3_markov_freq_aliases,,,,registry,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,current replay lifecycle registry
biglotto_zonal_pruning,Historical Big Lotto zonal pruning,BIG_LOTTO,UNKNOWN,biglotto_zonal_pruning,,,tools/biglotto_zonal_pruning.py; tools/predict_biglotto_zonal.py,,,shape_safety_adapter_without_parity,recovered_strategies.biglotto.historical_adapters.adapt_biglotto_zonal_pruning,4,False,True,strictly-prior BIG_LOTTO draws ordered old-to-new,AVAILABLE,NONE,NOT_RANKABLE_WITHOUT_PARITY,PARTIAL_SHAPE_EVIDENCE,PARTIAL_BACKTEST,P358/P359 shape-safety only; local cluster-pivot replica is not parity proof
cluster_pivot_biglotto,cluster_pivot_biglotto,BIG_LOTTO,REJECTED,cluster_pivot_biglotto,,,,,rejected/cluster_pivot_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/cluster_pivot_biglotto.json
gap_dynamic_threshold_biglotto,gap_dynamic_threshold_biglotto,BIG_LOTTO,REJECTED,gap_dynamic_threshold_biglotto,,,,,rejected/gap_dynamic_threshold_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/gap_dynamic_threshold_biglotto.json
hot_gap_return_biglotto,hot_gap_return_biglotto,BIG_LOTTO,REJECTED,hot_gap_return_biglotto,,,,,rejected/hot_gap_return_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/hot_gap_return_biglotto.json
hot_stop_rebound_biglotto,hot_stop_rebound_biglotto,BIG_LOTTO,REJECTED,hot_stop_rebound_biglotto,,,,,rejected/hot_stop_rebound_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/hot_stop_rebound_biglotto.json
markov_repeat_exception_biglotto,markov_repeat_exception_biglotto,BIG_LOTTO,REJECTED,markov_repeat_exception_biglotto,,,,,rejected/markov_repeat_exception_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/markov_repeat_exception_biglotto.json
multiwindow_fourier_biglotto,multiwindow_fourier_biglotto,BIG_LOTTO,REJECTED,multiwindow_fourier_biglotto,,,,,rejected/multiwindow_fourier_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/multiwindow_fourier_biglotto.json
neighbor_injection_biglotto,neighbor_injection_biglotto,BIG_LOTTO,REJECTED,neighbor_injection_biglotto,,,,,rejected/neighbor_injection_biglotto.json,rejected_strategy_artifact,,,False,False,strictly-prior BIG_LOTTO draws ordered old-to-new,NOT_EVALUATED,NONE,NOT_EVALUATED,NOT_ATTEMPTED,MISSING_IMPLEMENTATION,rejected/neighbor_injection_biglotto.json
